2026-01-08T14:16:24.515268200 - SỐ LƯỢT TRUY CẬP: 1 | Thao tác: list
2026-01-08T15:32:45.844711200 - SỐ LƯỢT TRUY CẬP: 40 | Thao tác: detail
2026-01-08T15:32:46.885206900 - SỐ LƯỢT TRUY CẬP: 41 | Thao tác: borrow
2026-01-08T15:32:46.890703 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:32:46.900168700 - SỐ LƯỢT TRUY CẬP: 42 | Thao tác: list
2026-01-08T15:32:53.664992 - SỐ LƯỢT TRUY CẬP: 43 | Thao tác: returnForm
2026-01-08T15:32:56.868176300 - SỐ LƯỢT TRUY CẬP: 44 | Thao tác: list
2026-01-08T15:32:58.552135500 - SỐ LƯỢT TRUY CẬP: 45 | Thao tác: returnForm
2026-01-08T15:33:02.437024500 - SỐ LƯỢT TRUY CẬP: 46 | Thao tác: returnBook
2026-01-08T15:33:02.448120600 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:33:02.462804300 - SỐ LƯỢT TRUY CẬP: 47 | Thao tác: list
2026-01-08T15:33:05.001839100 - SỐ LƯỢT TRUY CẬP: 48 | Thao tác: returnForm
2026-01-08T15:33:07.357241200 - SỐ LƯỢT TRUY CẬP: 49 | Thao tác: returnBook
2026-01-08T15:33:07.364550600 - THAY ĐỔI TRẠNG THÁI: Trả sách | BookService.returnBook(..)
2026-01-08T15:33:07.372518200 - SỐ LƯỢT TRUY CẬP: 50 | Thao tác: list
2026-01-08T15:33:51.945430100 - SỐ LƯỢT TRUY CẬP: 1 | Thao tác: list
2026-01-08T15:39:43.761179300 - SỐ LƯỢT TRUY CẬP: 2 | Thao tác: detail
2026-01-08T15:39:45.131484300 - SỐ LƯỢT TRUY CẬP: 3 | Thao tác: borrow
2026-01-08T15:39:45.141841800 - THAY ĐỔI TRẠNG THÁI: Mượn sách | BookService.borrowBook(..)
2026-01-08T15:39:45.215598100 - SỐ LƯỢT TRUY CẬP: 4 | Thao tác: list
